program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
Gateway Training Centre,West Scarborough Neighbourhood Community Centre,416-466-7489,416-466-3211,,www.gateway-cafe.com,2763 Danforth Ave,Mon-Fri 9 am-5 pm,Diana Gatti - Divisional Coordinator,Job search centre -- resumes and employment preparation workshops * career assessment * job interview skills * personal and vocational counselling * life skills training * staff assistance,None,Referral through Toronto. Employment and Social Services or agencies serving youth * appointment required,Youth 15-30 years * Ontario Works recipients,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario Employment Assistance Services,March of Dimes Canada - Toronto,416-425-3463 (416-425-DIME),416-425-8832,es@marchofdimes.ca,www.marchofdimes.ca,10 Overlea Blvd,Mon-Fri 9am-4:30pm,tsiegel@marchofdimes.ca,,,Call or drop in,Youth and adults with physical disabilities who are unemployed,English ; French,Toronto
Supported Employment Program,Project Work,416-481-2211,416-481-2728,info@projectwork.ca,www.projectwork.ca,"250 Merton St, Ste 204","Mon-Fri 9 am-5 pm * On-the-job early morning, evening and weekend support can be arranged -- call for details",Taryn Gabriel-Phillips - Intake Coordinator,"Ontario Employment Assistance Services (OEAS) -- offers employment services which may include dissemination of labour market information, employment needs assessment, career planning,",None,Ontario Employment Assistance Services (OEAS) -- call ahead * some providers may require a referral before a visit,Ontario Employment Assistance Services (OEAS) -- persons with disabilities who are unemployed,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Al Green Resource Centre,JVS Toronto - Head Office,416-782-3976,416-479-0868,algreen@jvstoronto.org,www.jvstoronto.org,"2700 Dufferin St, Unit 90A","Mon-Thu 9 am-5 pm,  Fri 9 am-4 pm",Megan Thomas - Director of Disability Services,Developing Work Connections -- vocational counselling and employment planning * employment and life skills workshops * group and individual volunteer placements for community-based work trials,None,Call or email,Youth and adults 18 years and older with developmental disabilities -- see below for specific programs,English,Toronto (City of)
Tropicana Community Services Organization - Employment Centre,,416-491-7000,416-491-4669,jobs@tropicanaemployment.ca,www.tropicanaemployment.ca,"505 Consumers Rd, Ste 102","Mon 9 am-5 pm, Tue 9 am-6:30 pm, Wed 9 am-5 pm, Thu 9 am-6:30 pm, Fri 9 am-4 pm",Marc Tremblay - Pre-apprenticeship Coordinator,"Pre-Apprenticeship Training Program -- auto body and collision damage repair training * auto body trade basics * 6 weeks pre-employment training including interview preparation, resume writing, WHMIS",None,Drop in or call,"Adults 18-30 years with an Ontario Secondary School Diploma (OSSD) or equivalent, and an Ontario Driver's License",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Canadian Council on Rehabilitation and Work,,416-260-3060,416-260-3093,info@ccrw.org,www.ccrw.org,"477 Mt Pleasant Rd, Ste 105",Mon-Fri 8:30 am-4:30 pm,,www.WORKink.com -- online information on employment issues for persons with disabilities,"Program - Job Accommodation Service, sliding scale",Employers -- call or email to make an appointment,Employers are eligible to access the Job Accommodation Service,English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Canada. Employment and Social Development Canada,,,,,www.esdc.gc.ca,140 Promenade du Portage,Mon-Fri 8am-5pm,,,Free for most services,Call or drop-in at a local Service Canada Office * no referral required,Canadian residents,English ; French,Canada
Youth Without Shelter,,416-748-0110,416-748-2169,,www.yws.on.ca,6 Warrendale Court,Daily 24 hours,Art Tsang - Planning and Evaluation Manager,Emergency residence and referral service for homeless youth ,None,Client must complete telephone intake before coming to shelter,Homeless youth ages 16 years - 24 years,English,Greater Toronto Area
Toronto. Employment and Social Services - Ontario Works and Program Support,,General Inquiry 416-392-8623,416-392-4214,,www.toronto.ca/socialservices,"55 John St, Stn 1123, 12th Fl",Mon-Fri 8:30 am-4:30 pm,,"Client Services and Information Unit 416-392-2956 -- information on Ontario Works, including legislation and procedures * assistance with resolution of issues between OW clients and staff",,Call the Application line serving specific postal code -- see separate listings or online ,"Toronto residents 18 years and older in financial need, determined by a review of income, assets and living expenses * youth 16-17 years may be eligible * people not eligible for social assistance benefits may qualify for one-time help with medical costs * ",English ; French,Toronto
Thorncliffe Neighbourhood Office,,416-421-3054,416-421-4269,info@thorncliffe.org,www.thorncliffe.org,18 Thorncliffe Park Dr,"Mon-Wed, Fri 9 am-5 pm; Thu 9 am-8 pm; Sat 10 am-4 pm",Natasa Bikova - Executive Assistant,Multiservice neighbourhood centre * multicultural focus * 5 locations * information and referral * family resource centre * child care registry * family mental health counsellor * income tax clinic *,None,Call or drop in to register for programs,"Open to all including immigrants and refugees, individuals, youth and families",English ; German ; Spanish ; Polish ; Hungarian ; Arabic ; Punjabi ; Serbian ; Russian ; Urdu ; Somali ; Bengali ; Hindi ; Gujarati ; Romanian ; Croatian ; Chinese (Mandarin) ; Farsi ; Tamil ; Chinese (Cantonese) ; Dari ; Pashto,"East York, Toronto"
University Settlement - North York Office,,416-218-8990,416-218-8991,behnaz.azad@universitysettlement.ca,www.universitysettlement.ca,"6075 Yonge St, 4th Fl",Mon-Fri 9 am-5 pm,Behnaz Azad - Director,"Settlement services for immigrants and refugees * information and referral * individual counselling * form filling * interpretation and translation * job search assistance, newcomer job search",None,Call for appointment,"Open to immigrants, convention refugees and temporary residents with work permit under the Live-in Caregiver Program",English ; Chinese (Mandarin) ; Farsi ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
John Howard Society of Toronto - KLINK Coffee,,647-348-2361,,sales@drinkKLINK.com,www.DrinkKLINK.com,2185 Danforth Ave,Mon-Fri 9 am-5 pm,Jennifer Macko - Director,"Employment readiness, skills training and services for former prisoner clients * internship at KLINK Coffee -- social enterprise * on-the-job work experience * job placement and followup",None,Referral from John Howard Society,Adults 18 years and older involved in the criminal justice system and a client of John Howard Society,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Eva's Phoenix,Eva's Initiatives,416-364-4716,416-364-7533,info@evas.ca,www.evasinitiatives.com,60 Brant St,Mon-Sun 24 hours,Clovis Grant - Interim General Manager,,None,Self-referral or referral from agencies serving youth,"Housing program -- homeless youth 16-24 years, must be engaged in a training or employment program * employment program -- homeless and at-risk youth 16-29 years, also open to non-residents",English,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
Working Skills Centre,,416-703-7770,416-703-1610,info@workingskillscentre.com,www.workingskillscentre.com,"55 Eglinton Ave E, Ste 703","Mon-Fri 8:30 am-6 pm; some evenings or Saturdays, call for details",Marina Nikova - Social Enterprise Manager,"Settlement information and referral * job search workshops * career assessments * life skills training * job skills training -- computerized office administration, supply chain, computerized",Vary for different services * some services covered by Ontario Works,"Call, drop in, visit website or attend information workshop held Thursdays 9:30 am",No restrictions,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Dress For Success Toronto,,416-901-6022,,info@dressforsuccesstoronto.org,toronto.dressforsuccess.org,Walmer Baptist Church Community Building,By appointment only * suiting appointments Wed and Thu 9:30 am-8 pm,Susan Endicott - Program and Volunteer Manager,Provides job-appropriate clothing to women seeking employment * pre-employment services * for donations of clothing and accessories or volunteer opportunities see website * Professional Womenâs Group,$40 agency fee,Referral from a nonprofit organization required,Women who are job ready and seeking employment,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Operation Springboard - Springboard Employment Services,,416-849-4421,416-849-4422,massan@springboardservices.ca,www.springboardemployment.com,"3195 Sheppard Ave E, Unit 105",Mon-Fri 9 am-5 pm,Mafaza Assan - Supervisor,Success in Motion -- 6 week pre-employment training to enhance employability and job readiness * life skills,None,Call for intake and assessment process,Success in Motion -- adults receiving social assistance * Youth at Work -- youth and young adults 15-30 years with multiple barriers to employment,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto. Employment and Social Services - Regent Park Employment Services,,416-392-3456,,,www.toronto.ca/socialservices/ercs.htm,402 Shuter St,"Mon-Tue, Fri 8:30 am-4:30 pm; Wed-Thu 8:30 am-6 pm",,,None,Drop in,Open to all Toronto residents,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto. Employment and Social Services - Crossways Employment Services,,416-338-1818,,,www.toronto.ca/socialservices/ercs.htm,"2340 Dundas St W, Ste 302","Mon, Wed, Fri 8:30 am-4:30 pm; Tue, Thu 8:30 am-6 pm",,,None,Drop in,Open to all Toronto residents,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Career Dynamics Network,,416-227-0544,416-227-0540,michelle@careerdynamicsnetwork.com,www.careerdynamicsnetwork.com,"5700 Yonge St, Ste 200",Mon-Fri 9 am-5 pm,Michelle Fernandes - Manager,,"Free to persons with disabilities who are eligible to receive benefits under ODSP, EI, WSIB and CPP","Call, e-mail or walk in","Persons with disabilities who are eligible to receive benefits under ODSP (Ontario Disability Support Program), EI (Employment Insurance), CPP (Canada Pension Plan) or WSIB (Workplace Safety and Insurance Board) * must be resident of Toronto",English,"East York, Toronto"
Corbrook - West Campus,,416-245-5565,416-245-5358,info@corbrook.com,www.corbrook.com,581 Trethewey Dr,Mon-Fri 8:30 am-4:15 pm,,"Training, employment services and supported community activities -- employment counselling and placement * transition to work program * job search workshops * job skills training * workplace supports",Most services are free * some services available on a fee-for-service basis for clients who don't qualify for funded services,"Call for information * for most services, clients must apply through ",Adults 18-60 years with a developmental disability * some services available to adults with other disabilities on a fee-for-service basis -- call for details * Day respite -- teens 14-18 years,English ; Italian ; Polish ; Portuguese ; American Sign Language (ASL) ; Urdu ; Hindi ; Chinese (Mandarin) ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Building Economic Self Sufficiency,Interval House,416-924-1411 ext 228,416-593-1854,bess@intervalhouse.ca,www.intervalhouse.ca,"131 Bloor St W, Ste 200",Mon-Fri 9 am-4 pm,,,None,Referral by community agency or self referral,"Women survivors of partner abuse including emotional, financial, physical or sexual abuse",English,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
Spadina Office,University Settlement - Community programs,416-408-4058,416-922-4050,,www.universitysettlement.ca,"720 Spadina Ave, Ste 218",Mon-Fri 9 am-5 pm,"Benhaz Azad - Director, Settlement and Social Services","Settlement services -- for immigrants and refugees * information and referral * individual counselling * form filling * interpretation and translation * job search assistance, newcomer job",None,Call for appointment,"Open to permanent residents, convention refugees and live-in caregivers",English ; Spanish ; Chinese (Mandarin) ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
North York - Lawrence Avenue W - Employment Services,Canadian Mental Health Association (Cmha) Toronto Branch,416-789-7957,416-789-9079,,,Lawrence Square,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm,Staff on Duty - Intake Worker,,No,Self-referrals are accepted.,Serious Mental Illness Clients Only,English,Toronto.
Youth Settlement Services,For Youth Initiative,416-653-3311,416-653-3423,fyi@foryouth.ca,www.foryouth.ca,"1652 Keele St, Lower Level",Mon-Fri 10 am-6 pm * occasional evening hours,,"Settlement Program -- orientation * needs and eligibility assessments * pre- and post-arrival information and referral on education, settlement, employment, social assistance, housing,",,Call for appointment or drop in,"Newcomer youth 13-24 years, including permanent residents, landed immigrants, convention refugees and government assisted refugees",English ; Spanish ; Arabic ; Filipino,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Youth Employment Services YES - Head Office,,416-504-5516,416-504-4654,yes@yes.on.ca,www.yes.on.ca,"555 Richmond St W, Box 115","Mon, Tue, Thu 9 am-5 pm; Wed 9 am-6 pm; Fri 9 am-4:30 pm",Tara Cracknell - Outreach Coordinator,"Individual and group employment counselling, assessment, job postings, referral and follow up * employability improvement, integration into workforce * job search workshops, newcomer services,",None,Self or agency referral,Unemployed and out of school youth 15-30 years,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Bridging Programs for Internationally Trained Professionals,WoodGreen Community Services,416-645-6000 ext 2200,416-465-4801,newcomerinfo@woodgreen.org,www.woodgreen.org,1491 Danforth Ave,"Mon-Thu 8:45 am-8 pm, Fri 8:45 am-3:30 pm, Sat 8:45 am-12 noon",John Viktorin - Manager of Employment Supports,"Bridging Program - Enhanced Language Training (ELT) for Internationally Trained Professionals -- 8 week full time, 16 week part time, sector specific language training for finance and",None,"Call, email or drop in","Newcomers, immigrants and refugees -- varies according to program * Enhanced Language Training -- foreign-trained professionals who are landed immigrants or Convention refugees * LINC -- landed immigrants and Convention refugees",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto Community and Culture Centre - Head Office,,416-971-7883 ; 416-971-8886,416-971-5519,info@tcccto.com,www.tcccto.com,Chinatown Centre,Mon-Fri 9 am-3:30 pm,,"Settlement services for newcomers * social services counselling * youth employment services -- sponsors internships, summer jobs, job skills workshops including resumes and interviewing skills *",None,Call for appointment,Focus on mainland Chinese community,English ; Chinese (Mandarin) ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
YMCA of Greater Toronto - Youth KickStart,,416-750-2344,416-750-3612,,www.ymcagta.org,Toronto Parma Court YMCA Centre,Mon-Fri 9 am-4:30 pm,Charmaine Marston - Job Developer,6 week employment program * life skills * job search skills * employability skills * resume and cover letter preparation * 12 week paid work placement,None,Vocational assessment and interview,"Youth 15 to 30 years, unemployed and out of school, not collecting Employment Insurance",English,North York
YWCA Toronto - LINC - Employment and Training,,416-242-3939,416-242-3934,info@ywcatoronto.org,www.ywcatoronto.org,"222 Dixon Rd, Ste 307","Mon-Fri 9 am-2:30 pm, LINC hours vary by class level",Anjali Achwal - Lead Teacher,"Participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry * childminding available for participants with children",None,,Women 18 years or older who are landed immigrants or convention refugees,English,Etobicoke
Dress Your Best,,,,info@dressyourbest.ca,www.dressyourbest.ca,,By appointment only * suiting appointments Mon 9:30 am-5 pm,Susan Endicott - Program and Volunteer Manager,Provides job-appropriate clothing to men seeking employment * donations of clothing and accessories accepted * volunteer opportunities,$40 agency fee,Referral from a nonprofit organization required,Men who are job ready and seeking employment,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Riverdale Immigrant Women's Centre - Riverdale Hub,,416-465-6021,416-465-3224,reception.riwc@gmail.com,www.riwc.ca,Riverdale Hub,Mon-Fri 9 am-5 pm,Manisha De Lanerolle - Program Coordinator,"Information and referral * counselling -- family, group, crisis and assaulted women * family violence education * advocacy * settlement services -- referrals to legal, housing, health, immigration and",Free -- counselling and employment programs,Essential Pathways to Employment Program -- referral through Toronto. Employment and Social Services,"Adults 16 years and older * focus on immigrant women and their families * Essential Pathways to Employment Program -- all Ontario Works (OW) recipients, men and women",English ; French ; Spanish ; Arabic ; Punjabi ; Urdu ; Bengali ; Hindi ; Gujarati ; Chinese (Mandarin) ; Tamil ; Chinese (Cantonese) ; Kachi ; Marathi ; Swahili ; Tibetan,"East York, Scarborough, Toronto"
Canada. Old Age Security Programs - Canada Pension Plan - Disability Benefit,,,,,www.servicecanada.gc.ca/eng/sc/cpp/disability/disa...,c/o Service Canada,Toll free telephone service agent: Mon-Fri 8:30 am-4:30 pm,,,None,* the ,"In addition to maximum age requirement, there are two conditions that must be met:",English ; French,"Burlington, Halton"
Centre for Independent Living in Toronto - Project Information Centre,,416-599-2458,416-599-3555,pic@cilt.ca,www.cilt.ca,"365 Bloor St E, Ste 902",Mon-Fri 9am-5pm,,,,"Call or email to request an application package, or ",Persons 16 years and older with permanent physical disabilities * must have valid Ontario Health Insurance card and be able to direct own assistance,English,Toronto
AIDS Committee of Toronto,,416-340-2437,416-340-8224,ask@actoronto.org,www.actoronto.org,"543 Yonge St, 4th Fl","Mon-Thu 10 am-9 pm, Fri 10 am-5 pm * closed weekends and statutory holidays",,"Support services including anonymous, confidential counselling for individuals, couples, and partners of individuals with HIV * case management and referral, buddy program, support groups, health and",None,"For support services, call to arrange an intake appointment, or drop in to speak with counsellor on call * for other services, drop in, call or visit website","Support and employment services -- individuals 16 years and older, who are living with HIV/AIDS * education and outreach programs -- focus on gay men, women and youth at risk for HIV * programs may vary",English,Toronto
West Scarborough Neighbourhood Community Centre,,416-755-9215,416-755-7521,wsncc@wsncc.on.ca,www.wsncc.org,313 Pharmacy Ave,Mon-Fri 9 am-10 pm * Sat 9 am -4 pm * Sun 2 pm -9 pm,,"Multiservice centre with social and recreational programs for all ages * Boys and Girls Clubs, school aged daycare * youth employment programs * local lead agency for Ontario Early Years Centres --",Varies per program,Call or drop in * visit the website,Open to all,English ; Italian,Scarborough ; Toronto and area
INROADS Toronto,,416-512-0929,,aarcher@inroads.org,www.inroads.org,4711 Yonge St,Mon-Fri 9 am-5 pm,,"Paid summer internship program * includes employment at a participating company, training workshops, staff coaching and community service  Diversity jobs",,"Fill out application form available on website, and submit with resume and most recent transcript","Visible minority and Aboriginal university students pursuing careers in business, engineering and computer science",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
New Circles Community Services,,416-422-2591,416-422-5946,info@newcircles.ca,www.newcircles.ca,161 Bartley Dr,"Mon-Wed 9 am-5 pm, Thu 9 am-7 pm, Fri 9 am-5 pm","Poppy Phioukham - Manager, Clothing Programs",,None,Call for appointment,"Low income families, seniors, newcomers, women, youth * individuals living outside catchment area may access service on one time basis -- referral from other agency required * newly arrived Syrian families may access service twice a year for two years regardless of their Toronto postal code",English ; Arabic ; Farsi,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Youth Unlimited,,416-383-1477,416-383-1447,yu@youthunlimitedgta.com,www.youthunlimitedgta.ca,57 Mobile Dr,Mon-Fri 9 am-5 pm,,"Christian perspective, non-denominational * counselling * neighbourhood, school and street outreach * young mother's group * case management * life skills * job search skills * programs held at",None,Call office,At risk youth 10-21 years,English,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
"Birkdale Residence - Toronto, City of - Shelter, Housing and Support Division",,416-392-5650,416-392-5855,,,1229 Ellesmere Rd,Daily 24 hours,Holly Kensey - Manager,,,"Clients come from Central Family Intake only. Call 416-397-5637, which is open 24 hours a day.","Clients come from Central Family Intake only. Call 416-397-5637, which is open 24 hours a day.",English,Toronto
"Ontario. Ministry of Community and Social Services. Ontario Disability Support Program - Toronto Downtown Office, 3rd Fl",,416-212-7411,416-212-7564,,www.mcss.gov.on.ca/en/mcss/programs/social/odsp,"385 Yonge St, 3rd Fl",Mon-Fri 8:30 am-5 pm,Ramzan Khadim - ODSP Manager,"Income Supports:Health benefits -- prescription drugs * dental care * vision care * medical supplies, including diabetic and surgical supplies * transportation to medical treatment if cost",,Call  to arrange a meeting or ,"This office serves people in the following postal code areas: M4B, M4C, M4E, M4J, M4K, M4L",English ; French,"East York, North York, Toronto"
Afghan Women's Organization,,416-588-3585,416-588-4552,awo@afghanwomen.org,www.afghanwomen.org,"789 Don Mills Rd, Ste 700","Mon-Tue, Thu-Fri 9 am-5 pm, Wed 9 am-7 pm, Sat 9:30 am-4:30 pm * some evening and weekend programs",Fahima Fatah - LINC Manager,Settlement services for immigrants and refugees * needs assessment * information and referral * advocacy * orientation * sponsorship of refugees * translation and interpretation * escort * assistance,None,Call or drop in,"Open to all * focus on Afghan community, particularly women, their families, refugees and people who have experienced war or persecution",English ; Arabic ; Farsi ; Dari ; Pashto ; Uzbek,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario. Ministry of Community and Social Services. Ontario Disability Support Program - Toronto West Office,,416-325-5900,416-325-5901,,www.mcss.gov.on.ca/en/mcss/programs/social/odsp,1870 Wilson Ave,Mon-Fri 8:30 am-5 pm,Phil Rajnauth - ODSP Manager,"Income Supports:Health benefits -- prescription drugs * dental care * vision care * medical supplies, including diabetic and surgical supplies * transportation to medical treatment if cost",,Call to arrange a meeting or ,"This office serves people in the following postal code areas: M3L, M3M, M3N, M6L, M6M, M6N, M6P, M6S, M8V, M8W, M8X, M8Y, M8Z, M9A, M9B, M9C, M9L, M9M, M9N, M9P, M9R, M9V, M9W",English ; French,"East York, North York, Toronto, York - Toronto"
Oasis Addiction Recovery Society,,416-461-7739,416-406-3861,oasis.info@oasismovement.org,oasismovement.org,921 Danforth Ave,Mon-Fri 8:30 am-4:30 pm,Reception/Intake Worker,"Employment programs including employment preparation, and social and support service",None,Professional or self referral * call or drop in,"Persons in recovery from drug, alcohol or gambling addictions, their friends and families * cafÃ© open to general public",English ; Greek,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Common Ground Cooperative,,416-421-7117,416-421-7116,info@commongroundco-op.ca,www.commongroundco-op.ca,3A Banigan Dr,Mon-Fri 8 am-4 pm,Karen Curtis - Training Coordinator,,,"Contact Developmental Services Ontario, Toronto Region 1-855-372-3858 (1-855-DS-ADULT)",Adults 18-65 years with developmental disabilities,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Drop-In Centre Bloor Street,Sistering,416-926-1946,416-926-1932,general_info@sistering.org,www.sistering.org,962 Bloor St W,Drop-in: Mon-Sun 24 hours * Meals: breakfast 9:30 am * lunch 12 noon * supper 8:30 pm,Tekla Hendrickson - Unit Director,,,Call or drop-in * no referral required,"Women 16 years and older who are homeless, socially isolated, or who have low incomes",English ; Italian ; Spanish ; Portuguese ; Chinese (Mandarin) ; Chinese (Cantonese),Toronto and area
Jane Alliance Neighbourhood Services,,416-249-6742,416-249-3430,info@janealliance.com,www.janealliance.com,"909 Jane St, Ste 205",Mon-Fri 9 am-5 pm,,Newcomer assistance -- settlement support and counselling * housing referral and support * educational workshops * information on Canadian school system,None,Call or drop in,Open to all,English ; Italian ; German ; Spanish ; Arabic ; Urdu ; Somali ; Hindi ; Farsi ; Dari ; Pashto ; Turkish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Oasis Dufferin Community Centre,,416-536-4431,416-536-0122,oasisdufferin@rogers.com,www.oasisdufferin.org,1219 Dufferin St,"Office -- Mon-Thu 8:30 am-3:30 pm * Drop-in -- Tue 4 pm-8 pm, dinner at 6 pm * Food bank -- Wed 9:30 am-12:30 pm",Erika Abele - Counsellor,"Community centre serving diverse groups including Spanish-speaking community * counselling, orientation, life skills for immigrants and newcomers * information and referral * job training courses *",,"Food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details",Open to all,English ; Spanish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
St Bernadette's Family Resource Centre - St Jude's Academy of the Arts,,416-740-7187,Call first 416-740-7187,stjudesaota@gmail.com,www.stbernadettesfrc.org,Carmine Stefano Community Centre,Mon-Fri 9 am-3 pm * year round program,Elizabeth Greene - Program Manager,,$39 per day * subsidies may be available,Call for appointment,Adults 18 years and older including individuals with intellectual and/or physical challenges * summer -- also open to youth 15-17 years during July and August,English ; Italian ; Spanish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
SAINTS,,416-481-6284,416-481-4770,saints@saintstoronto.ca,www.saintstoronto.ca,25 Wanless Ave,Mon-Fri 10am-5pm,Christine Hurlbut - Program Administrator,,$11 per hour paid directly to student,Call * no referral required,"Older adults and adults with disabilities, who need physical, social, or emotional supports",English,Toronto and area
HealthForceOntario,,416-862-2200,,info@healthforceontario.ca,www.healthforceontario.ca,163 Queen St E,Mon-Fri 9am-5pm,,Helps healthcare workers find jobs in Ontario * works to fill gaps in the healthcare workforce,,,Regulated healthcare professionals who are seeking employment assistance in Ontario,English ; French,Ontario
Ontario. Employment Ontario,,416-352-2929,416-325-6348,employmenthotlineinquiries@ontario.ca,www.tcu.gov.on.ca/eng/employmentontario/,"Mowat Block, 14th Floor",Mon-Fri 8am-5pm,,,None,Call or visit website,,English; French,Ontario
Catholic Crosscultural Services - Settlement Integration Place,,416-266-7200,416-266-3500,,www.cathcrosscultural.org,Markington Square Plaza,Mon-Fri 9 am-5 pm,Mary Sharif - Program Manager,"Settlement services * needs assessment, information and referral, counselling * information on housing, job search, starting a business * support with finding housing, employment, health care,",None,Drop in,All newcomers,English ; Urdu ; Hindi ; Gujarati ; Filipino ; Chinese (Mandarin) ; Tamil,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
KCWA Family and Social Services,,416-340-1234,416-340-7755,kcwa@kcwa.net,www.kcwa.net,27 Madison Ave,"Mon, Tue, Fri 9 am-5 pm; Wed, Thu 9 am-8 pm",Victoria JiYoung Sheen - Outreach Worker,Employment services -- one on one employment counselling * resume clinic * interview skills * career training referrals * career networking club * employment workshops * job fair,None,Call or drop in,Open to all * focus on Korean community,English ; Korean,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Institute of Leadership for Women in Ontario,,647-347-0999,,ilfo@yahoo.ca,www.ilfo.ca,Glendon College,,,Information and referral * counselling and support group * interpretation and accompaniment ,None,"Call, drop in or visit the website","Open to all French, English and Persian speaking women",English ; French ; Farsi,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Iranian Community Association of Ontario,,647-556-0233,Call first 647-556-0233,info@iranianassociation.ca,www.iranianassociation.ca,"1775 Eglinton Ave W, Ste 1419",Mon-Fri 9 am-4 pm * voice mail messages returned within 24 hours,,,None,"Call, email or visit website",Iranian community,English ; Farsi,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
